title,artist,image_url,image_path,inventory,date,type,technique,dimensions,subject,school,room,description
The Martyrdom of Saint Sebastian,Antonio Badile (1518-1560),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Antonio-Badile-Martirio-di-San-Sebastiano-689x1024.jpg,ambrosiana_images/The_Martyrdom_of_Saint_Sebastian.jpg,,c. 1530 - 1540,Painting,,150 × 101 cm,Sacred art,,10,"This large altarpiece shows Saint Sebastian in the foreground, tied to a column and calmly enduring the torment of the arrows, while an angel on the left brings him the crown of martyrdom. What makes the painting so interesting is the antiquarian taste that permeates the composition and shows us with great topographical accuracy the main buildings of Imperial Rome."
The Martyrdom of Saint Peter of Verona,Alessandro Bonvicino detto Moretto (1490-1554),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Alessandro-Bonvicino-detto-Moretto-Martirio-di-San-Pietro-da-Verona-534x1024.jpg,ambrosiana_images/The_Martyrdom_of_Saint_Peter_of_Verona.jpg,,c. 1533 - 1534,Painting,,310 × 163 cm,Sacred art,,12,"A Dominican friar of the convent of Sant’Eustorgio in Milan, Peter of Verona was an Inquisitor and preacher against the heresy of the Cathars: in 1252, together with a confrère, he was killed by a heretic in the woods between Seveso and Barlassina, struck on the head by a great cleaver. Moretto’s painting shows the scene of his martyrdom: the Saint, in the foreground, already struck on the head, is writing the word credo with his own blood on the ground, while in the middle ground his co-brother attempts to escape the assassin’s attack. In the upper part of the altarpiece, three angels hold a number of iconographic symbols that refer to the Saint: the palm and crown to indicate the victory of martyrdom, and the lily, which alludes to the virtue of chastity."
The Annunciation,Gerolamo Mazzola Bedoli (1500-1569),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Gerolamo-Mazzola-Bedoli-Annunciazione-695x1024.jpg,ambrosiana_images/The_Annunciation.jpg,,c. 1538 - 1540,Painting,,208 × 144 cm,Sacred art,,10,"This panel, with Mannerist characteristics that are so evident that it was long attributed to Parmigianino, has a wealth of symbolic references and classical elements. The scene is set in front of a vaguely classical temple, indicating that the Virgin has believed in the angelic annunciation and has thus become the temple of the Word and the new Ark of the Covenant. Also the figure of the archangel Gabriel has a classical look, almost as though he were Mercury, the messenger of the gods. An open book on Mary’s kneeler – a book of hours, it seems, for it contains rubrics to indicate the correct order of the prayers –  bears two biblical quotations (Is 7:14 and Mc 1:34;38) referring to the mystery of the Incarnation."
Mary Magdalene,Tiziano Vecellio (1480-1576),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Tiziano-Vecellio-La-Maddalena-829x1024.jpg,ambrosiana_images/Mary_Magdalene.jpg,,c. 1540,Painting,,96 × 74 cm,Sacred art,,1,"The figure of Saint Mary Magdalene was very dear to the Cardinal as an image of sincere penitence and true love of Christ. According to the classic tradition, a good rendering of Mary Magdalene was to contain three elements: the aesthetic, in the form of female beauty, the penitential, generally with a stark landscape, and the ecstatic. This painting, which is derived from the Mary Magdalene of the Palatine Gallery in Florence, is praised in the Musaeum for “the artist’s skill in maintaining proper modesty in such nudity”, and indeed the viewer’s eye is immediately attracted by the saint’s face enraptured in ecstasy. Recent cleaning of the canvas has more clearly revealed, to the left of Mary Magdalene, the jar of ointment, her iconographic emblem. More importantly, it has also uncovered the artist’s signature (Titianus fecit – “Titian made [it]”)."
Portrait of a Pilgrim,Monogrammista HL (XVI secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Monogrammista-HL-Ritratto-di-pellegrino-754x1024.jpg,ambrosiana_images/Portrait_of_a_Pilgrim.jpg,,1542,Painting,,60 × 44 cm,Portrait,,21,"This austere, intense portrait is the work of Monogrammist HL, whose monogram HLF appears on one of the shells. The sitter, who has a rosary around his right wrist, bears the shells very conspicuously on his shoulder and chest, indicating his status as a pilgrim. Initially considered to be a portrait of Saint Ignatius Loyola, scholars today prefer not to identify the sitter. On the back of the panel there is a date (1542) and an inscription stating that it had belonged to don Federico Crivelli, who died on 30 April 1589, and that it “it was given to me, Battista Rubenino, priest, by his agents”: “Era del s. don Federico Crivelli qual morite a li 30 aprile 1589 e i soi agenti l’ano donato a me prete Battista Rubenino”."
The Adoration of the Magi,Andrea Schiavone (1510-1563),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Schiavone-Adorazione-dei-Magi-1024x851.jpg,ambrosiana_images/The_Adoration_of_the_Magi.jpg,,c. 1547,Painting,,185 × 222 cm,Sacred art,,1,"Andrea Schiavone (schiavone means “Slav”, indicating the painter’s origins) was a leading exponent of Mannerism in Veneto, and this Adoration of the Magi is an excellent example of Mannerist painting, which appears in the repeated presence of the figura serpentinata – figures in a spiral pose. The work dates from about the mid-fifteenth century and is striking for its dynamism and for the style which recalls that of Parmigianino, from whom Schiavone took inspiration."
The Rest on the Flight into Egypt,Jacopo da Ponte detto il Bassano (1510-1592),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jacopo-da-Ponte-detto-il-Bassano-Riposo-durante-la-fuga-in-Egitto-2-1024x780.jpg,ambrosiana_images/The_Rest_on_the_Flight_into_Egypt.jpg,,1547,Painting,,118 × 158 cm,Sacred art,,4,"This painting was particularly admired by Cardinal Federico as one of the finest works by Jacopo Bassano. Probably made in late 1547, it takes up a very popular theme in religious painting – the Holy Family resting on their flight into Egypt – but it shows it in a new and original manner. The scene focuses on Mary, who is seen holding the Child in her arms. Joseph lovingly contemplates him, while all around there are numerous realistic details (such as the swaddling bands in the foreground) and other figures (such as the two youths who appear to be restraining the donkey, and the shepherd kneeling on the left). The scene is complex and brought to life by great physical and psychological dynamism."
Male portrait,Hans Muelich (1516-1573),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Hans-Muelich-Ritratto-maschile-691x1024.jpg,ambrosiana_images/Male_portrait.jpg,,1548,Painting,,71 × 51 cm,Portrait,,21,"In this panel we see the portrait of an elegantly dressed man holding a crystal glass in his right hand, between his thumb and forefinger. A scroll hanging from a tree to his left tells us the date the painting was made (1548) and the age of the gentlemen (42). The work has a wealth of details, both in the clothes and in the rendering of the landscape. Indicated as the work of Hans Holbein in the donation documents, some scholars later attributed it to Hans Muelich, but now even this attribution has been brought into question and some prefer to talk more generically of a “German painter”."
Ceremonial saddle and stirrups. Detail of the wooden horse of Troy,Arte armaiola milanese,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Sella-da-parata-e-staffe-Particolare-del-Cavallo-di-Troia-1024x585.jpg,ambrosiana_images/Ceremonial_saddle_and_stirrups._Detail_of_the_wooden_horse_of_Troy.jpg,,c. 1550 - 1575,Object,,,,,8,"This sumptuous ceremonial saddle, complete with its two stirrups, bears chased images of the first and last episodes of the war of Troy: the rape of Helen and the famous wooden horse of Troy, with the burning of the city. The two stirrups are also decorated with male and female figures. These artefacts are examples of the art of armoury for high-ranking patrons as it developed in Milan during the second half of the sixteenth century."
Portrait of a Gentleman (Michel de l’Hospital),Giovan Battista Moroni (1520-1578),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovan-Battista-Moroni-Ritratto-di-Michel-de-lHospital-607x1024.jpg,ambrosiana_images/Portrait_of_a_Gentleman_(Michel_de_l’Hospital).jpg,,1554,Painting,,185 × 115 cm,Portrait,,12,"In Roman numerals on the fragment of stone at the bottom right we see the date when Giovan Battista Moroni finished this portrait: 1554. It shows a gentleman, full-length, leaning on the plinth of a column, on which we see a Latin phrase taken from Horace: Impavidum ferient ruinae (“Ruins would strike him undismayed”). This motto has made it possible to make a hypothesis about the identity of the sitter: it might be Michel de l’Hospital, the representative of the King of France at the Tridentine Council (1547-1548), who did indeed use this phrase from Horace as his own personal motto, even though it was fairly common in sixteenth-century France. The painting is remarkable for its attention to detail, from the sitter’s garments through to the subtle play of shadows."
Adoration of the Magi,Tiziano Vecellio (1480-1576),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Tiziano-Vecellio-Adorazione-dei-Magi-1-1024x603.jpg,ambrosiana_images/Adoration_of_the_Magi.jpg,,c. 1557 - 1560,Painting,,223 × 120 cm,Sacred art,,1,"Painted around 1559-60, the painting has much in common with Titian’s mature works. The rendering of the sky is interesting, for the colour is applied in such a way as to leave some areas of raw canvas, creating a very singular effect. There is a curious anecdote about thisa painting: the pretty little dog at the base of the hut was painted over, because it was considered scandalous and irreverent. In his De pictura sacra, Federico Borromeo, founder of the Ambrosiana, refers to the person who had it covered as “stern and fanatical” and he quotes Titian himself when he said “it was not surprising the persons ignorant of any art should commit such a disfigurement”. During the latest restoration, the little animal was returned to view, further revealing the brilliant Venetian painter’s interest in nature."
Horse’s head (Copy from the equestrian monument to Marcus Aurelius on the Capitol in Rome),NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Testa-di-cavallo-1024x731.jpg,ambrosiana_images/Horse’s_head_(Copy_from_the_equestrian_monument_to_Marcus_Aurelius_on_the_Capitol_in_Rome).jpg,,c. 1560,"Painting,Sculpture",,72 × 110 × 36 cm,,,2,"We know that in the courtyard of Pompeo Leoni’s famous Casa degli Omenoni stood a life-size copy of the equestrian statue of Marcus Aurelius on the Capitol in Rome, and this cast of the horse’s head from the famous monument also comes from the Pompeo Leoni Collection. Documents show that it has been in the Ambrosiana, certainly for academic and study purposes, at least since 1661."
Laocoon  (copy of the Vatican original),Leone Leoni,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leone-Leoni-Lacoonte-595x1024.jpg,ambrosiana_images/Laocoon__(copy_of_the_Vatican_original).jpg,,c. 1560,16th century sculpture,,240 × 160 × 70 cm,Mythological scene,,Scalone d’ingresso,"This copy of the famous sculptural group of the Laocoon in the Vatican Museums comes from the so-called Casa degli Omenoni, where Leone Leoni kept his collection of plaster casts of the most important works of art in Rome. It came to the Ambrosiana with the Bartolomeo Calchi Donation and was immediately put on display next to the copy of Michelangelo’s Pietà. The right arm, which is extended rather than bent, shows that this cast was made after the 1532-1533 restoration of the original."
Pietà (copy from Michelangelo),Leone Leoni,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leone-Leoni-Pieta-copia-da-Michelangelo-1-632x1024.jpg,ambrosiana_images/Pietà_(copy_from_Michelangelo).jpg,,c. 1560,Sculpture,,174 × 180 × 85 cm,Sacred art,,Scalone d’ingresso,"Also this copy of Michelangelo’s Pietà comes from the famous Casa degli Omenoni, where Leone Leoni kept his collection of plaster casts. Leoni’s collection later became the property of Bartolomeo Calchi, who – as the Latin inscription on the base recalls – donated this copy of Michelangelo’s masterpiece to the Ambrosiana. It is important to note that this copy shows us the state the original was in prior to the 1736 restoration of the Virgin’s left hand and of Christ’s right hand."
The Placing of Christ in the Sepulchre,Tiziano Vecellio (1480-1576),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bottega-di-Tiziano-Vecellio-Deposizione-di-Cristo-nel-sepolcro-1024x892.jpg,ambrosiana_images/The_Placing_of_Christ_in_the_Sepulchre.jpg,,c. 1570 - 1573,Painting,,108 × 208,Sacred art,,1,"This painting brings about an authentic whirl of emotions: with great devotion Nicodemus, the Pharisee who went to Jesus at night, and Joseph of Arimathea lay the body of Chris; the Mother impresses a kiss upon her son’s lifeless body; Mary Magdalene “expresses excruciating pain deep within” and John, the favourite disciple, “appears to compete in affection with Mary Magdalene”. The shadows cast upon the scene appear to evoke the great darkness that covered the land when Jesus died on the cross. The artist’s signature, TITIANUS P. (Titianus pinxit – “Titian painted this”), appears at the base of the tomb, even though the painting contains studio work and the critics suggest it was finished by Palma the Younger."
Saint Michael the Archangel,Giulio Cesare Procaccini (1574-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giulio-Cesare-Procaccini-san-Michele-Arcangelo-739x1024.jpg,ambrosiana_images/Saint_Michael_the_Archangel.jpg,,c. 1615 - 1620,Painting,,60 × 44 cm,Sacred art,,15,"This splendid little painting shows the archangel Michael, who is identified by his attributes, the sword, scales and armour, sitting down after defeating the devil, who lies crushed at his feet. The work came to the Ambrosiana only in the early twentieth century and we do not know who commissioned it. It should however be recalled that Giulio Cesare Procaccini played a very important role in the artistic reform promoted by Federico Borromeo, who entrusted him with some important works, including some of the quadroni of the cycle of miracles of Saint Charles Borromeo made for the Duomo. Even though this painting is small and possibly a study for an altarpiece, it clearly reveals the talent and inventiveness of this brilliant artist."
Clock with astrolabe,Sconosciuto,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Orologio-con-astrolabio-735x1024.jpg,ambrosiana_images/Clock_with_astrolabe.jpg,,c. 1590 - 1610,Object,,32.3 cm,,,8,"The surface of this elegant clock is sumptuously decorated with plant motifs. As well as telling the time, the various dials also show the position of the sun and moon, the days of the week, the length of the day and night, the signs of the zodiac, and other special time measurements."
Portrait of Paolo Morigia,Fede Galizia (1578-1630),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Fede-Galizia-Ritratto-di-Paolo-Morigia-925x1024.jpg,ambrosiana_images/Portrait_of_Paolo_Morigia.jpg,,c. 1592 - 1595,Painting,,88 × 79 cm,Portrait,,13,"This portrait of Paolo Morigia, superior general of the Jesuates (the Apostolic Clerics of Saint Jerome), is remarkable for the artist’s technical skills and was much praised by the sitter himself, who said it was a perfect likeness: “it bears such a resemblance to nature that for more one could not ask”. The emphasis here is not so much on the religious aspect of Morigia as on him as an erudite historian and it is worth noting that he is holding a pair of glasses in his right hand. The meticulously naturalistic rendering of the objects reminds us that Fede Galizia was also a painter of still lifes. The paper the friar is writing on bears verses by Borgogni, which refer to the painting and to the artist’s painting skills."
Landscape with Saint John the Baptist,Paul Bril (1554-1626),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Paul-Bril-Paesaggio-con-San-Giovannino-1024x744.jpg,ambrosiana_images/Landscape_with_Saint_John_the_Baptist.jpg,,c. 1595,Painting,,83 × 131 cm,"Landscape,Sacred art",,7,"Here we see the young Saint John the Baptist in a charming, typically Flemish painting. The saint is identified by his attributes – the cross, the lamb, and the austere woollen tunic. The lonely place where the Precursor has retired to is not a parched desert but rather a luxuriant forest inhabited by delightful animals, enlivened by the songs of countless birds and swarming with insects and even pretty little snails. Here too the representation of an important biblical figure becomes an opportunity to create a genre picture."
Basket of fruit,Michelangelo Merisi da Caravaggio (1571-1610),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Canestra-di-frutta-Michelangelo-Merisi-da-Caravaggio-1024x786.jpg,ambrosiana_images/Basket_of_fruit.jpg,,c. 1597 - 1600,Painting,,"54,5 × 67,5 cm",Still life,,1,"This is probably the most famous painting in the collection of Cardinal Federico Borromeo, which formed the original nucleus of the Pinacoteca Ambrosiana. It is considered to be a sort of prototype of the “still life” genre. It shows a wicker basket brimming with fruit and leaves, rendered with great realism and attention to detail. This almost conflicts with the abstract neutral background of the painting and with the line of colour the basket itself is resting on, and from which it juts out. The founder of the Ambrosiana mentions this extraordinary painting many times in his writings and says he has searched in vain for a work that can bear comparison to it. But, he writes “for its incomparable beauty and excellence, it remained alone”. The painting has been interpreted in many different ways, some of which are religious: the extreme realism with which the fresh fruits are placed alongside those that are worm-eaten, and the leaves that gradually dry out and shrivel, give tangible form to the inexorable passing of time."
Crib,Federico Barocci o Baroccio detto il Fiori (1535-1612) (replica di),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Barocci-Presepe-Nativita-3-823x1024.jpg,ambrosiana_images/Crib.jpg,,c. 1599,Painting,,135.4 × 110 cm,Sacred art,,6,"Federico Borromeo considered this beautiful painting as “one of the dearest things I possess”. It has been suggested that he kept it in his study in the archbishop’s palace, and indeed it entered the Ambrosiana collection only after his death. There have been long discussions about the authorship of the work, but it has recently been affirmed that “the definition of autograph replica for the Milan specimen is the most appropriate”. An identical painting, probably the original version seen by Federico Borromeo, is now in the Museo del Prado in Madrid and it was donated in 1605 to Margaret of Austria, Queen of Spain, by Francesco Maria Della Rovere, Duke of Urbino. It is interesting to note how there is a total lack of any natural or artificial source of light, since the entire scene is flooded with divine light that radiates from the face of the Infant Jesus, just as we are told in one of the apocryphal gospels."
Nautilus shell,Sconosciuto,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-Nautilus-940x1024.jpg,ambrosiana_images/Nautilus_shell.jpg,,c. 1600 - 1650,Object,,22.5 × 19 × 9.5 cm,,,8,"This nautilus shell, perforated and mounted on pedestal, was used as drinking vessel, as was very much the fashion in the first half of the seventeenth century."
Portrait of Saint Charles Borromeo,Giovanni Ambrogio Figino (1548-1608),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Ambrogio-Figino-Ritratto-di-San-Carlo-Borromeo-888x1024.jpg,ambrosiana_images/Portrait_of_Saint_Charles_Borromeo.jpg,,c. 1600,Painting,,50 × 40 cm,Portrait,,6,"Traditionally attributed to Giovanni Ambrogio Figino, this portrait of Saint Charles is in any case the work of a Lombard artist. It was made in the late sixteenth or early seventeenth century and reflects the devotional zeal which sprang up around the great Archbishop of Milan, and which culminated in his canonisation in 1610. Federico Borromeo referred to this portrait as the best that had ever been painted of Saint Charles."
The Damned Soul,Anonimo lombardo (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Scultore-milanese-Dannato-804x1024.jpg,ambrosiana_images/The_Damned_Soul.jpg,,c. 1600 - 1610,Sculpture,,11 × 9.5 cm,,,9,"In Chapter 10 of the Second Book of De Pictura Sacra, written in 1624, Cardinal Borromeo writes: “All these sentiments, so admirably expressed in a clay panel, can be seen in the statues and paintings of our Library, one of which shows in as many scenes the desperation of the damned, the mourning of Purgatory and the bliss of Paradise.” The three little sculptures are modeled with great realism and the face of the damned soul is particularly worthy of note."
A Soul in Purgatory,Anonimo lombardo (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Scultore-milanese-anima-purgante-830x1024.jpg,ambrosiana_images/A_Soul_in_Purgatory.jpg,,c. 1600 - 1610,Sculpture,,11 × 9.5 cm,,,9,"In Chapter 10 of the Second Book of De Pictura Sacra, written in 1624, Cardinal Borromeo writes: “All these sentiments, so admirably expressed in a clay panel, can be seen in the statues and paintings of our Library, one of which shows in as many scenes the desperation of the damned, the mourning of Purgatory and the bliss of Paradise.” The three little sculptures are modeled with great realism and the face of the damned soul is particularly worthy of note."
The Blessed Soul,Anonimo lombardo (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-Lombardo-Anima-Beata-1-769x1024.jpg,ambrosiana_images/The_Blessed_Soul.jpg,,c. 1600 - 1610,Sculpture,,11 × 9.5 cm,,,9,"In Chapter 10 of the Second Book of De Pictura Sacra, written in 1624, Cardinal Borromeo writes: “All these sentiments, so admirably expressed in a clay panel, can be seen in the statues and paintings of our Library, one of which shows in as many scenes the desperation of the damned, the mourning of Purgatory and the bliss of Paradise.” The three little sculptures are modeled with great realism and the face of the damned soul is particularly worthy of note."
Armillary sphere,NA,https://ambrosiana.it/wp-content/uploads/2018/11/VB004728-699x1024.jpg,ambrosiana_images/Armillary_sphere.jpg,,c. 1600 - 1650,Scientific instrument,,39 × 22.1 cm,,,8,"Tradition has it that this armillary sphere, which is mounted on an elegantly engraved lobated support, originally belonged to Saint Charles Borromeo. It can be used to study the movement of the moon according not to the ancient Ptolemaic view but to the new Copernican system."
Original Sin,Jan II Brueghel il Giovane (1601-1678),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-II-Brueghel-il-Giovane-Peccato-originale-1024x598.jpg,ambrosiana_images/Original_Sin.jpg,,c. 1640,Painting,,49 × 83 cm,Sacred art,,21,"Probably dating from about 1640, these two panels were painted by Jan Brueghel the Younger, the son of Jan Brueghel the Elder. The fact that they are exactly the same size suggests that they were part of a single work, together with other paintings, all based on the first chapters of the Book of Genesis. In terms of subject and composition, the general format is clearly derived from his father’s works, even though the quality is considerably lower, as can be seen, for example, in the ungainly, impossible position of Eve in the scene of the original sin."
Mouse with Roses,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Topolino-con-rose-1024x713.jpg,ambrosiana_images/Mouse_with_Roses.jpg,,c. 1605 - 1611,Painting,,7.2 × 10.2 cm,Miniature,,7,"In the Musaeum we read: “I note that Brueghel painted on parchment a mouse with some stems of roses and insects. I wanted to call particular attention to this parchment and make it known that its value can rest on the fact that even mice in it are enjoyable to look at” In actual fact, this miniature masterpiece is not on parchment but on copper, and it is most likely the “trifle, of little import” which Brueghel mentions in a letter to the Cardinal in 1605."
Cup with Turbo marmoratus shell,Christoph Lencker (1556 circa-1613),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Christoph-Lencker-Coppa-con-conchiglia-di-Turbo-marmoratus-628x1024.jpg,ambrosiana_images/Cup_with_Turbo_marmoratus_shell.jpg,,c. 1605 - 1610,Object,,38.5 cm,Applied arts,,8,"This exquisite object is a libation vessel of a type that was popular in seventeenth-century German Wunderkammern, or “cabinets of wonders”, with the use of natural objects, and large shells in particular. The mark on the base of the cup is that of Christoph Lencker, who worked in Augsburg in the late-sixteenth/early-seventeenth century."
Allegory of Fire,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Allegoria-del-fuoco-olio-su-rame-1024x698.jpg,ambrosiana_images/Allegory_of_Fire.jpg,,1608,Painting,,46 × 66 cm,Allegory,,7,"This is undoubtedly the most striking of the four paintings, and the one in which the artist’s imagination has run most freely, adopting an almost infinite number of creative solutions. The element fire appears primarily in the enormous blaze that, as an untameable force of nature, is devouring the building on the mountain in the middle distance. But the artist has also worked on the theme of fire through the representation of an enormous workshop, where the workers (whom the Cardinal refers to as the mythical Cyclops) are at work producing an enormous number of objects: armours, glassware, pitchers, domestic implements, and tools for a crafts workshop. The power of fire is needed to produce this huge number of objects, no longer as an overwhelming, destructive force, but tamed by man and subjected to his will in the furnace which we see on the left-hand side. The painting is signed and dated 1608, and was the first of the four to be made."
Flowers in a Vase,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-Fiori-in-un-vaso-689x1024.jpg,ambrosiana_images/Flowers_in_a_Vase.jpg,,1608,Painting,,43 × 30 cm,Still life,,7,"A colourful bunch of flowers with tulips appears in a römer, a characteristic Rhenish glass that often appears in northern paintings of this period. In a letter of 13 June 1608 Brueghel says he is sending a painting of three tulips and other rare spring flowers. As well as establishing the origin of the painting, it also recalls an important characteristic of Flemish painters, which is that they liked to paint from life. In another letter, dated 26 September of the same year, he says he has most diligently made another little painting from life with tulips picked in May. This is the second documented painting of this genre, after the Vase of Flowers with Jewel, Coins and Shells (inv. 66), also in the Cardinal’s collection."
"Vase of Flowers with Jewel, Coins and Shells",Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Vaso-di-fiori-con-gioiello-monete-e-conchiglie-1-696x1024.jpg,"ambrosiana_images/Vase_of_Flowers_with_Jewel,_Coins_and_Shells.jpg",,1608,Painting,,65 × 45 cm,Still life,,7,"The splendid bunch of flowers, painted by Brueghel for Cardinal Federico, is the oldest documented painting of this type. It consists of about a hundred different species of flowers, some of which are very rare and of great quality. In a letter we read that Brueghel was working on it in 1606 and that he had seen these flowers in the garden of Archduke Alberto and Archduchess Isabella in Brussels, and that he had wanted to ritrare dal natural. In his Musaeum, Borromeo has this to say about the work: “Brueghel painted a diamond on the lower part of the vase…: he wished to show that the value of his work was equal to that of the jewel and this is the price that we paid to the artist.”"
The Adoration of the Magi,Pier Francesco Mazzucchelli also known as Morazzone (1571-1626),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Pier-Francesco-Mazzucchelli-detto-il-Morazzone-Adorazione-dei-Magi-1-682x1024.jpg,ambrosiana_images/The_Adoration_of_the_Magi.jpg,,c. 1610,Painting,,42 × 29 cm,Sacred art,,14,"This painting with The Adoration of the Magi is small but extremely delicate, as we see in the pose of the Virgin and in the elegant gesture of the servant who is shown kneeling down to give one of the Magi a gift to be offered to the Infant Jesus. The work was purchased at the beginning of the century but scholars still have not reached an agreement on the date of execution."
Diana the Huntress,Joachim Friess (XVI-XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Joachim-Friess-Trofeo-o-gioco-motorio-con-Diana-cacciatrice-1-746x1024.jpg,ambrosiana_images/Diana_the_Huntress.jpg,,c. 1610 - 1620,Object,,39 cm,,,8,"This table trophy is fitted with a mechanism that makes it turn around on itself. It portrays the goddess Diana riding a stag and holding two dogs on leashes. On the base we find another two hunters, dogs, hares, reptiles and beetles, not to scale. This very unusual object was used to delight guests during dinner, and it bears the initials of the artist who made it (J.F.). It testifies to the high quality of jewellery in the city of Augsburg, where it was made, in the early seventeenth century."
Seascape,Paul Bril (1554-1626),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Paul-Bril-Veduta-marina-1024x723.jpg,ambrosiana_images/Seascape.jpg,,1611,Painting,,104 × 148 cm,Landscape,,7,"In his Musaeum, Cardinal Borromeo writes about this painting: “The sea appears in a view so serene, tranquil and extensive that anyone who turns his eyes in that direction might believe that he is pacing those marine distances with both eye and foot.” In the deed of donation of 1618 he also states that this view “is one of the most beautiful things upon which I have ever set my eyes”, and it appears that he really considered it to be the finest work by Bril in his collection."
The Last Supper,Andrea Bianchi detto il Vespino (attivo 1612-1640),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Bianchi-detto-il-Vespino-Ultima-Cena-1024x146.jpg,ambrosiana_images/The_Last_Supper.jpg,,c. 1611 - 1616,Painting,,118 × 835 cm,Sacred art,,Aula Leonardi,"Andrea Bianchi, known as “Vespino”, was a professional painter who worked in Milan in the late Cinquecento and in the first three decades of the Seicento. He was the favourite artist of Cardinal Federico Borromeo, who commissioned him to make a number of copies of great Renaissance masterpieces, and of works by Leonardo da Vinci in particular. This was so that a reliable record would remain, especially when there were fears that the original might one day be lost. The best example of this is the copy of The Last Supper, on which Vespino worked from 1611 to 1616."
The Virgin of the Rocks,Andrea Bianchi detto il Vespino (attivo 1612-1640),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Bianchi-detto-il-Vespino-Vergine-delle-rocce-626x1024.jpg,ambrosiana_images/The_Virgin_of_the_Rocks.jpg,,c. 1611 - 1618,Painting,,193 × 119 cm,Sacred art,,Aula Leonardi,"Andrea Bianchi, known as “Vespino”, was a professional painter who worked in Milan in the late Cinquecento and in the first three decades of the Seicento. He was the favourite artist of Cardinal Federico Borromeo, who commissioned him to make a number of copies of great Renaissance masterpieces, and of works by Leonardo da Vinci in particular. The Virgin of the Rocks is extremely faithful to the version now in London, and which at the time still adorned the chapel of the Immaculate Conception in the convent of San Francesco Grande, close to the basilica of Sant’Ambrogio. Actually, Vespino’s copy shows us what the London version originally looked like, in which the three figures (the Christ Child, St John the Baptist, and the Virgin) have haloes, and the little St John is holding a cross. Art historians have in fact established that the halos and the cross were added for devotional reasons at a later date, after the early decades of the seventeenth century, and that they did not appear in the original. So here too we can see that the value and the documentary purpose of these works, which were made as part of the Ambrosiana’s artistic and cultural programme, were far from being mundane plagiaries and still today they allow us to reconstruct the history of the great masterpieces of the Italian Renaissance."
